id,organization_id,name,website,country,description,founded,industry,number_of_employees
19,dD1612190b24B12,Ford-Rice,https://peterson-irwin.com/,Turks and Caicos Islands,Sharable intangible leverage,1971,Computer / Network Security,3038
20,992CAdffccEebEa,Collins-Figueroa,http://www.holt-bartlett.info/,Mongolia,Realigned multi-state installation,1985,Aviation / Aerospace,9420
21,0f65e641edAa1B5,Vargas PLC,https://www.welch.com/,Montserrat,Optimized secondary collaboration,2012,Ranching,1795
22,F8C0578dC3314F8,Rivas LLC,https://www.bryan.net/,Cuba,Re-engineered systemic installation,1998,Pharmaceuticals,1399
23,ed8aF92FFaDFB1E,"Gregory, Fuentes and Middleton",https://mcdonald.net/,Nauru,Grass-roots fault-tolerant function,1977,Tobacco,924
24,1A53a5EaeCE451b,"Burke, Peterson and Paul",http://www.king.org/,Bouvet Island (Bouvetoya),Down-sized reciprocal encryption,2016,Executive Office,2414
25,EC0feA85cffbCAf,Petty LLC,https://www.owens.info/,Saint Pierre and Miquelon,Team-oriented maximized product,2015,Marketing / Advertising / Sales,1933
26,9B761645aC1bEFC,Noble-Hodges,http://vincent.com/,Panama,Innovative client-driven Internet solution,1987,Cosmetics,6302
27,C0EDdD596D7c6C3,Santana and Sons,https://www.gilmore-mccann.com/,Syrian Arab Republic,Streamlined even-keeled budgetary management,1997,Computer Software / Engineering,2235
28,BeB7b67CDDB77cA,"Bernard, Galloway and Gibbs",https://trujillo.com/,Guatemala,Fully-configurable 5thgeneration productivity,1994,Oil / Energy / Solar / Greentech,914
29,9Cf0FfADEdAb259,Carney Group,http://mcconnell.com/,China,Inverse national Graphical User Interface,2012,E - Learning,7174
30,A180485CbcBAeeF,"Cohen, Nunez and Lara",http://www.franco.org/,Gabon,Virtual analyzing project,2002,Furniture,8031
31,5F4C9D283546ea4,Stokes-Campbell,https://www.kramer.com/,Singapore,Multi-channeled homogeneous Local Area Network,1985,Warehousing,4403
32,cB9E22bCCEE7DF9,Kent PLC,https://www.mcconnell.com/,Netherlands,Reduced neutral knowledgebase,2005,Civil Engineering,6707
33,1F1e3c08eB5eb3c,"Bowers, Schmidt and Boyd",https://ortega.net/,Israel,Total coherent open system,2013,E - Learning,6442
34,1faCF41cC9fC7eC,Underwood Group,https://www.berry-miles.org/,Lesotho,Expanded eco-centric function,1999,Automotive,2909
35,b4d5CbddD8c4cBE,"Lambert, Tran and Hendrix",https://lawrence.com/,United States of America,Ergonomic regional superstructure,1990,Arts / Crafts,8325
36,ffCc95EDE6Ca776,"Berry, Ryan and Gilmore",http://evans-bridges.com/,Guinea-Bissau,Vision-oriented analyzing workforce,2020,Leisure / Travel,8435
37,e41eFC164Fdc188,Holden Ltd,https://www.riley.com/,Samoa,Realigned even-keeled standardization,1978,Mechanical or Industrial Engineering,7948
38,ffBeeC4EFbc6Ee5,Cook-Bishop,https://randolph-webster.net/,Netherlands Antilles,Secured needs-based benchmark,2009,Plastics,843
39,AA4aE71179d156b,"Tran, Crawford and Blake",https://barrett-barrett.com/,Cote d'Ivoire,Adaptive eco-centric secured line,1989,Motion Pictures / Film,5663
40,280a57F3beacd99,Todd-Torres,https://www.sawyer-roberson.com/,French Polynesia,Compatible full-range leverage,2010,Machinery,4059
41,F371254eb18ca27,Moreno-Baldwin,https://www.long.org/,Spain,Compatible stable moratorium,2010,Arts / Crafts,9858
42,df4c0d242a8aB4F,Yang Inc,https://simpson.biz/,Moldova,Ergonomic uniform structure,2013,Food / Beverages,1131
43,e7ce973eaBAfa2e,Ross-Howard,https://www.mcconnell.com/,Sudan,Ameliorated next generation policy,1994,Recreational Facilities / Services,706
44,EF430e90727cdE1,Huang PLC,https://vaughn.net/,Cape Verde,Automated systematic leverage,2003,Security / Investigations,6917
45,15eebAddAc2Ce09,"Berry, Rios and Farley",https://hartman-case.com/,Luxembourg,Horizontal next generation protocol,2002,Veterinary,8257
46,c2aB95895FF1dFB,"Barron, Chandler and Sutton",http://www.carpenter.info/,Antigua and Barbuda,Upgradable grid-enabled Graphical User Interface,2007,Wine / Spirits,1652
47,afA4E4F18d49437,"Mcbride, Zavala and Morris",http://nielsen-cisneros.com/,Bouvet Island (Bouvetoya),Ergonomic solution-oriented monitoring,1992,Broadcast Media,3541
48,4Da4faC7CfFfD9e,Sexton Group,http://www.trevino.info/,Peru,Multi-tiered stable interface,2001,Security / Investigations,7830
49,a5D7abBe4994b43,Ray Inc,https://www.lowe.com/,Andorra,Polarized cohesive solution,1996,Program Development,9387
50,c5d11D5eACBb491,"Mckee, Clay and Rollins",http://www.gaines-mccarty.com/,Slovenia,Team-oriented intangible infrastructure,2012,Security / Investigations,95
51,15f7DBcbB3D0b7E,Rios-Howard,http://dickerson.com/,Denmark,Right-sized methodical process improvement,1979,Internet,6350
52,257cFc8Bd07d849,Baldwin-Boyer,https://campbell.biz/,Slovenia,Upgradable human-resource definition,2015,Mechanical or Industrial Engineering,9929
53,48E2e4e4A512cba,Daniel-Glenn,http://flynn.com/,Japan,Profit-focused well-modulated hub,1980,Insurance,7935
54,53a3b5c387F2ede,"Saunders, Tanner and Kent",http://www.duke.com/,Bhutan,Switchable stable solution,2002,Education Management,9921
55,8f865cb8040efBF,Chavez Inc,http://www.beck.com/,Turkmenistan,Vision-oriented web-enabled database,2000,Accounting,1285
56,e0c701aBB9bA8C6,"Ponce, Castaneda and Conway",http://www.richards-dyer.com/,Pitcairn Islands,Centralized human-resource extranet,1971,Airlines / Aviation,1402
57,cAC044f5f6df03F,"Nicholson, Grant and Wiggins",https://www.walters.info/,Macedonia,Progressive bi-directional contingency,1971,Ranching,607
58,6abdaa636BD6De8,"Small, Moses and Phillips",http://www.carr-douglas.com/,Cape Verde,Enhanced leadingedge success,2019,Online Publishing,4897
59,AAF1F2BA7FfabBE,Graves-Macias,http://www.schmidt.info/,Bosnia and Herzegovina,Realigned reciprocal frame,1978,Law Enforcement,4276
60,EAfEb2Ddcf72A05,Garcia-Riggs,https://www.blevins.com/,Anguilla,Progressive background Graphic Interface,2020,Restaurants,2203
61,4ABb9efa0f162C7,"Montoya, Lewis and Peters",http://barajas-miller.com/,Saint Pierre and Miquelon,Reverse-engineered fresh-thinking circuit,2016,Oil / Energy / Solar / Greentech,8507
62,F3D3a48fC65dC04,Faulkner-Prince,http://kaiser-banks.org/,British Virgin Islands,Progressive even-keeled product,1996,Commercial Real Estate,3820
63,d0CcAFCeC31BEaa,Aguilar-Bishop,https://elliott.com/,Heard Island and McDonald Islands,Future-proofed solution-oriented budgetary management,1986,Primary / Secondary Education,6600
64,eAC7E6Dd1Acfd65,Kaufman-Bush,https://bullock.info/,Korea,Focused attitude-oriented contingency,1970,Aviation / Aerospace,345
65,274FC0b9fd919b9,"Salas, Cunningham and Kline",http://hensley-barajas.com/,Luxembourg,Vision-oriented client-server matrix,1999,Photography,5922
66,2B5fa5fCA2D8F3E,"Kane, Lawrence and Oconnell",https://maldonado-snow.com/,Serbia,Multi-lateral impactful portal,2009,Outsourcing / Offshoring,6330
67,78b8EAD5f2c925E,"Michael, Freeman and Pineda",http://buck-barry.com/,Singapore,Sharable high-level extranet,2022,Alternative Dispute Resolution,2720
68,e9c240acD5ea194,Ray-Kline,http://allen.info/,Niue,Assimilated reciprocal orchestration,1974,Government Administration,1847
69,EbD128bdF7AcBf7,"Greene, Nunez and Kent",http://watts-vazquez.com/,Honduras,Diverse actuating time-frame,1980,Religious Institutions,1564
70,5aD0cCbDa2Ea7bf,Ayala and Sons,http://horne-hill.biz/,Anguilla,Implemented tertiary benchmark,2008,Shipbuilding,6996
71,Af06CFAbC01EEa5,Park-Vasquez,http://www.pacheco.com/,Eritrea,Distributed modular throughput,2006,Photography,2972
72,8fBB9A288C4dE0C,Gregory PLC,http://www.wise.com/,Mozambique,Progressive full-range algorithm,2000,Chemicals,5473
73,FaA7c47Bc9b309b,Schmitt-Downs,https://hall.com/,Morocco,Switchable modular attitude,1990,Outsourcing / Offshoring,5328
74,a67aABeafeAd949,"Thomas, Copeland and Werner",https://www.cunningham.com/,Sweden,Multi-lateral bifurcated intranet,2018,Pharmaceuticals,259
75,ca7d875a5Db6242,Medina PLC,http://www.joyce.com/,Trinidad and Tobago,Profound tertiary collaboration,1988,Other Industry,1215
76,C3aa6f9fE3C7612,Golden LLC,https://www.howell.biz/,Turks and Caicos Islands,Robust 5thgeneration instruction set,1976,Packaging / Containers,7753
77,De95fbE86CEF8b4,Rhodes LLC,https://harper.com/,Libyan Arab Jamahiriya,Versatile client-server time-frame,1989,Security / Investigations,7024
78,DC49F6e8Bb17CBf,Mercado and Sons,https://www.valenzuela.com/,Mali,Proactive encompassing infrastructure,2002,Package / Freight Delivery,1897
79,40cdFfaF4E5bed7,Hanson-Orozco,http://wright.org/,Ethiopia,Exclusive exuding workforce,1995,Other Industry,5519
80,Ad01dfc69aDC9CD,Wise-Mora,https://www.salas-gillespie.biz/,Bahamas,Cross-group tertiary software,1982,Broadcast Media,4057
81,Aef86E8bAD1CDb8,Grant Inc,http://www.horne-johns.com/,Bermuda,Innovative even-keeled project,1996,Computer Games,9641
82,a65ae9DCD9e8Faf,"Fitzpatrick, Ferguson and Mathis",http://ford.com/,Angola,Optional systematic knowledgebase,1980,Aviation / Aerospace,543
83,80D2Ba0Ef26D86e,Gilbert Ltd,http://www.goodman-patterson.com/,Cayman Islands,Cloned client-driven paradigm,1981,Packaging / Containers,9564
84,4c6E28bA59FcCFf,Kirk PLC,http://www.rios.com/,Sri Lanka,Enterprise-wide real-time definition,1988,Market Research,4776
85,A71f6caf05EcFf2,Santana and Sons,https://marshall-randolph.org/,Bermuda,Focused scalable artificial intelligence,1977,Marketing / Advertising / Sales,3271
86,fBbf1732D9F8D3f,Turner-Stewart,http://clark.com/,Ecuador,Balanced real-time hardware,2013,Civil Engineering,7501
87,1056EACf668D9AD,Wheeler-Vazquez,http://www.burns.com/,Swaziland,Fundamental leadingedge synergy,1977,Broadcast Media,2942
88,72C79CC5fDA0c15,Maynard Group,http://bauer-hanson.com/,Niger,Fully-configurable secondary access,1992,Investment Management / Hedge Fund / Private Equity,3639
89,4C32FbC2eceD3C9,Irwin-Rodgers,http://www.zavala.com/,Syrian Arab Republic,Inverse optimizing capability,2009,Cosmetics,4904
90,aFc8fefdEA0B0bb,Sheppard-Beltran,http://www.hopkins.com/,Kuwait,Team-oriented zero tolerance Graphic Interface,1989,Package / Freight Delivery,4337
91,E0fa33fCDC67EAA,"Alexander, Irwin and Bautista",http://www.cuevas.net/,Tunisia,Stand-alone hybrid adapter,1991,Religious Institutions,3977
92,535A7E241fA9C4D,Gross-Trevino,http://hendrix-stone.com/,Azerbaijan,Distributed 6thgeneration system engine,1985,Newspapers / Journalism,9703
93,769b4b13CbFCEf9,Walton-Mercer,https://mccullough-newton.com/,Togo,Multi-lateral explicit customer loyalty,1974,Paper / Forest Products,4692
94,f7D31AF2A1BbD21,David Inc,http://www.mcclure.com/,Tajikistan,Exclusive leadingedge contingency,2016,Other Industry,4037
95,1D8112CdEBf80ad,Francis-Mcbride,http://manning.biz/,Macao,Grass-roots high-level website,2005,Internet,9153
96,EEBdB9Dc21D2d0c,Horne-Murphy,http://www.howe.biz/,Argentina,Distributed responsive concept,2010,Farming,3525
97,6b00e6ccB2aAbf4,House and Sons,http://www.kidd-bautista.biz/,Azerbaijan,Integrated object-oriented ability,2005,Dairy,3451
98,B8Ddf23a87Ff19c,"Key, Beard and Greene",http://www.burch.com/,Djibouti,Optimized local complexity,2003,Fishery,1206
99,c9Cdf92BC6f0Beb,Nguyen-Medina,https://www.brooks.net/,Kenya,Open-source optimizing focus group,2018,Consumer Goods,9421
100,4CA68CcA2fCE2B9,"Wilkinson, Day and Chen",http://www.beard.com/,Tanzania,Fully-configurable optimizing open architecture,2012,Information Services,761
101,4EF38De3feD859c,Erickson-Mayer,http://yates.com/,Japan,Cross-group systematic migration,1980,Utilities,7863
102,a0463b8eA393F5f,Crane-Sullivan,http://www.heath.info/,Ethiopia,Ameliorated mission-critical core,1974,Package / Freight Delivery,1174
103,7e6F9bFCfFDAce4,"Farmer, Conner and Brown",https://lucas.net/,Svalbard & Jan Mayen Islands,Public-key object-oriented challenge,2015,Recreational Facilities / Services,1647
104,8BF9d3F6cdbAD45,Downs and Sons,https://cox.net/,Equatorial Guinea,Robust needs-based portal,1994,Political Organization,7459
105,F8B1FAA6D5fd6E2,Joyce Group,https://hansen-hurst.com/,Armenia,Implemented system-worthy customer loyalty,1987,Industrial Automation,1992
106,249eAdffdFBaDAe,"Mclean, Martin and Watson",http://gaines.com/,Russian Federation,Public-key composite application,1979,Motion Pictures / Film,4166
107,61C1D9C572C787f,Meadows LLC,https://perkins.com/,Swaziland,Open-architected contextually-based database,2005,Commercial Real Estate,8669
108,f8750aA3fdCBDB8,"Brock, Romero and Diaz",https://www.fernandez.com/,Montenegro,Self-enabling non-volatile budgetary management,2010,Glass / Ceramics / Concrete,6377
109,5A7dbcd65cC1a0A,Barrera-Small,http://house-harding.com/,Madagascar,Fully-configurable even-keeled intranet,1988,Law Practice / Law Firms,646
110,bb10a2dD6ba41ff,Watkins-Martinez,https://mitchell.info/,Cayman Islands,Fundamental modular emulation,2019,Writing / Editing,2048
111,Dc0Cd8FC5e4aEA4,Manning and Sons,http://www.york.com/,Spain,Assimilated radical portal,1999,Farming,6402
112,eFBEDdF1ccD1DcD,Hurst-Wyatt,http://www.kemp.biz/,Papua New Guinea,Persevering asynchronous analyzer,1970,Higher Education / Acadamia,712
113,FB6fD1BF8AE3Bd7,"Barrera, Copeland and York",http://www.gibson-booker.com/,Mayotte,Ameliorated solution-oriented instruction set,1983,Public Safety,6139
114,dFB9Edd116EbA8b,Walton-Avila,https://www.farley-cain.com/,Saint Martin,User-centric analyzing orchestration,1988,Fishery,9475
115,1248d9ee52b29Ba,Villarreal-Pennington,http://payne.com/,Cocos (Keeling) Islands,Re-engineered intermediate matrix,2010,Wireless,5178
116,eae5edff5dAbFDE,"Wright, Crosby and Gould",http://riggs.org/,Botswana,Robust directional functionalities,2002,Management Consulting,6642
117,bf4dCD59Eed88B1,"Nicholson, Acevedo and Murillo",http://mathis.com/,Saint Barthelemy,Robust hybrid Internet solution,2018,Pharmaceuticals,1264
118,5e472eefBd2A55A,"Wilkerson, Jefferson and Cuevas",https://patton-ellison.com/,Haiti,Enterprise-wide zero-defect leverage,1980,Mental Health Care,414
119,bFD0fB22F323bdE,Beard-Foley,http://krause.net/,Panama,Configurable 4thgeneration paradigm,2017,Online Publishing,435
120,6bcA14CcC441a0b,Smith-Landry,https://www.bradford-gould.com/,Montserrat,Managed reciprocal pricing structure,1977,Venture Capital / VC,3769
121,A84B62Ac12DED97,"Fleming, Scott and Roman",https://www.cannon-silva.com/,Turkey,Balanced zero tolerance firmware,1982,Wine / Spirits,4186
122,7fCC910CD4CE8a3,Blackwell PLC,https://riddle-bonilla.com/,United States Minor Outlying Islands,Proactive scalable knowledgebase,2018,Ranching,3043
123,9FE1Af4D258f12b,Acevedo-Durham,http://www.may.com/,Bermuda,Extended zero-defect installation,2012,Automotive,946
124,5aF0B3aFcb0E3e2,Church and Sons,http://preston-blackwell.com/,Timor-Leste,Automated systematic implementation,2018,Marketing / Advertising / Sales,4677
125,ACe644AefdFe2FA,"Raymond, Hull and Mcclure",https://www.fritz.info/,British Virgin Islands,Visionary zero administration capacity,1986,Warehousing,5676
126,28959dbe3BB2FEF,"Webb, Browning and Collier",https://www.strickland-chaney.net/,Algeria,Optimized bifurcated knowledge user,2022,Consumer Electronics,4427
127,e1E5006384Dd7CE,Donaldson PLC,https://www.baxter-bauer.com/,Mexico,Vision-oriented bottom-line circuit,2000,Law Practice / Law Firms,292
128,C50b32B793f7deA,"Whitehead, Bridges and Buchanan",https://sparks-lopez.com/,Montenegro,Enterprise-wide secondary orchestration,1991,Market Research,579
129,a7bBE21BDF8501F,Marquez-Waters,https://hensley.com/,Iran,Versatile incremental data-warehouse,1981,Retail Industry,9471
130,2c4bFf2a4629d7C,"Diaz, Shaffer and Campbell",https://jones.com/,United States Virgin Islands,Universal full-range adapter,1981,Design,744
131,Dbf0BCbAaaA613C,Alvarado-Wells,http://bartlett-ferrell.com/,Senegal,Expanded national synergy,2016,Facilities Services,3893
132,691A915bbf9b19E,Gutierrez LLC,http://parks.com/,Taiwan,Secured homogeneous support,1993,Logistics / Procurement,3050
133,74A52E4c3923743,"Alexander, Fisher and Woodard",http://kidd.com/,Macedonia,Distributed explicit moderator,1970,Legal Services,3750
134,f9fa80e77FFfBa8,"Clay, Powers and Hart",http://clements.biz/,Hong Kong,Profound interactive toolset,1994,Mining / Metals,453
135,8506A5EAC910d2B,Roberts-Terrell,https://elliott.com/,Netherlands Antilles,Down-sized motivating application,1978,Accounting,4964
136,5eA69EbAcAF6Db4,Duncan-Hopkins,http://harrison.com/,Tunisia,Public-key value-added alliance,1979,Wine / Spirits,6477
137,c8E7bE4db4a6FeE,Peters Ltd,http://juarez.org/,Bermuda,Business-focused background leverage,2020,Railroad Manufacture,3938
138,5ecF438e6fd5d85,"Decker, Chung and Vaughan",https://collins-frazier.net/,Iran,Reduced reciprocal portal,1980,Consumer Services,3575
139,1D0A25da4aBa761,Payne-Huang,http://mcpherson.com/,Liberia,Secured directional open architecture,2016,Marketing / Advertising / Sales,7336
140,6edBAdf691eC8EE,Conway LLC,http://www.costa-ritter.net/,Honduras,Intuitive discrete functionalities,2000,Hospital / Health Care,5466
141,CCaA31E5DeFC4dB,Cook Inc,https://www.cline.com/,Andorra,Proactive non-volatile structure,1988,Human Resources / HR,4555
142,F09eE9AF5Db6b8A,Haney-Lang,http://brewer-avery.com/,Pakistan,Cross-group neutral synergy,1998,Public Safety,6379
143,F6e991b12b04F1f,Bernard-Benson,https://www.tran.com/,Marshall Islands,Focused web-enabled collaboration,1999,Computer Games,4030
144,Ac6FF1Fa4Cb3bc8,"Giles, Merritt and Vincent",https://shah-mckay.com/,Colombia,Distributed uniform array,2016,Nanotechnology,4284
145,6bf9bC4cd1b6BdA,Cunningham LLC,http://www.alexander.com/,Liechtenstein,Intuitive discrete complexity,1979,Translation / Localization,4791
146,C4fb7F0fAAf4CeD,Kennedy and Sons,http://www.pierce.com/,Kazakhstan,Right-sized systemic artificial intelligence,1996,Gambling / Casinos,8199
147,DF2D6F2beffF49F,Barry-Holloway,https://www.spears.com/,Sweden,Reactive user-facing initiative,1992,Accounting,231
148,ca2a51A1ec4De27,Mclean Group,http://kirby.org/,United States Minor Outlying Islands,Right-sized uniform migration,1984,Nanotechnology,8108
149,aC09b09FCB5F0B6,"Dixon, Gay and Howe",https://quinn.info/,South Africa,Robust asymmetric budgetary management,1975,Furniture,240
150,3c69968A79fBCFe,Rose Ltd,http://www.garza-barker.com/,Ireland,Ergonomic context-sensitive collaboration,2017,Philanthropy,1925
151,4B0cDFacca5Dd20,"Mckinney, Rios and Solomon",https://www.fitzgerald.org/,Paraguay,Automated eco-centric matrices,2010,Broadcast Media,7466
152,56cfAAf541FbCcC,Martinez-Mendez,https://atkins.org/,France,De-engineered background neural-net,2015,Textiles,3964
153,5D40ad8bC1FDD6f,Rivers-Blackburn,http://beck-hale.com/,Hong Kong,Cross-platform exuding hub,1992,Public Relations / PR,1508
154,C9A5ef9a88adFae,"Macias, Leblanc and Owens",http://cuevas.info/,Maldives,Automated executive initiative,2009,Judiciary,5760
155,451BebF5AfAaebb,"Alvarez, White and Ingram",https://rowe-werner.net/,Togo,Public-key interactive installation,2021,Computer / Network Security,7939
156,Ab608be5D9A2D10,"Nelson, Ayala and Meyer",https://www.munoz.com/,Norway,Grass-roots content-based interface,1988,Internet,7168
157,3E642BC2efFd185,"Hardy, Spence and Rich",http://middleton.com/,Maldives,Organized multi-tasking array,2009,Public Relations / PR,9077
158,CdB225FeBD4ACb5,"Mejia, Rivers and Nguyen",http://www.clayton.net/,Malaysia,Mandatory tangible task-force,1970,Hospital / Health Care,1629
159,C2e7fCDeD767451,Chase-Gilmore,http://www.castillo-padilla.com/,Holy See (Vatican City State),Progressive leadingedge database,2009,Events Services,1836
160,b7503825D3F59bC,Craig and Sons,https://www.contreras-james.org/,India,Self-enabling bifurcated approach,1986,Oil / Energy / Solar / Greentech,5248
161,9FB9B9B4A7ADe76,Meza-Wilson,https://www.grant-norman.org/,Isle of Man,Polarized fault-tolerant encryption,2017,Law Practice / Law Firms,7462
162,dB39AEaFcf3d824,Middleton Inc,https://www.montgomery.com/,Saint Vincent and the Grenadines,Seamless foreground database,2013,Philanthropy,946
163,546a22B4cD6bFCf,May Group,https://irwin.biz/,Switzerland,Upgradable 5thgeneration standardization,1994,Design,8207
164,64411fFdE8EAC66,"Hardin, Welch and Goodwin",http://www.sharp.com/,Germany,Enhanced intangible moratorium,2011,Gambling / Casinos,9700
165,8Ca7A0f387b8576,Campos and Sons,http://porter-mckinney.org/,Bermuda,Synergized explicit paradigm,2003,Computer Hardware,9516
166,a55F80EbD1D4d26,Barry Inc,http://www.hernandez.com/,Sri Lanka,Devolved coherent productivity,1976,Industrial Automation,9049
167,BE3c9C41D1DA81d,"Chang, Suarez and Ortiz",http://www.finley.com/,Reunion,Open-source coherent knowledge user,1993,Pharmaceuticals,4880
168,3CB86A6003E67a5,Phelps-Bryan,https://good.com/,Barbados,Future-proofed bi-directional strategy,1972,Facilities Services,8053
169,1CB63Bba3B56cfC,Wiggins PLC,https://www.horn.com/,Philippines,Versatile cohesive conglomeration,2003,International Trade / Development,1137
170,C1f3Aa10Af0fD09,Sosa Group,http://quinn-rodgers.com/,Luxembourg,Streamlined content-based parallelism,1977,Commercial Real Estate,7642
171,4351f4c9755DbA6,Dominguez and Sons,https://mcpherson.com/,Albania,Digitized multimedia intranet,2012,Biotechnology / Greentech,9685
172,Ec46B1B16F57da8,"Mcclain, Krause and Townsend",http://carney.com/,Uruguay,Streamlined clear-thinking knowledge user,1993,Luxury Goods / Jewelry,254
173,f7FdDF8FcCb7e0C,Shea PLC,http://humphrey-gonzales.com/,Pakistan,Diverse solution-oriented functionalities,2021,Executive Office,7661
174,7dde3eFbeC2FBf8,Rhodes-Steele,https://www.bautista.com/,Heard Island and McDonald Islands,Centralized non-volatile task-force,1997,Primary / Secondary Education,3502
175,Ed35D1ca0B94fEa,Rush-Allison,https://www.goodman.com/,Ukraine,Synchronized leadingedge array,1997,Transportation,7003
176,2416AaE2b66Ecca,"Keith, Stafford and Soto",https://rogers.com/,Sri Lanka,Up-sized grid-enabled frame,1981,Veterinary,7927
177,d5E7C74AF731BfE,Bryan-Mcfarland,https://hawkins-thomas.org/,Australia,Mandatory object-oriented system engine,1978,Writing / Editing,9998
178,8F4d31f25BEaE61,Holden-Velazquez,http://www.larson.com/,British Virgin Islands,Ergonomic regional hardware,2015,Hospital / Health Care,8346
179,68C3788CdEadDA8,Luna Ltd,https://www.decker.com/,Gabon,Switchable homogeneous attitude,1971,Shipbuilding,679
180,E06fdBc3c8D9deB,Collins-Farley,https://www.patrick.com/,Saint Martin,Versatile multi-state info-mediaries,2000,Venture Capital / VC,4902
181,7d0cECBDdbAc918,Whitney LLC,http://love.com/,Kazakhstan,Stand-alone tertiary policy,1977,Pharmaceuticals,7259
182,f1414aa732a5dCf,Wilkerson-Rivers,https://bowers.com/,French Guiana,Digitized reciprocal approach,2008,Veterinary,1818
183,e4B93C8A2C5CfDd,Gonzales-Vargas,http://www.herrera.com/,Tokelau,Implemented didactic data-warehouse,2009,Leisure / Travel,4380
184,13eeCCbB8C894CF,Spencer-Quinn,http://www.mcdaniel.com/,Benin,Right-sized human-resource groupware,1975,Ranching,7995
185,b04c7b47dc2092d,Cooley LLC,http://www.atkins.com/,Austria,Enterprise-wide analyzing intranet,1983,Outsourcing / Offshoring,3770
186,CaF73FbB52ED95e,Chavez-Velazquez,http://www.hayes.biz/,Rwanda,Proactive dedicated project,2006,Furniture,3470
187,312CAA5E2deb9Ea,"Walls, Fritz and Patrick",https://www.velez.com/,Denmark,Multi-layered maximized product,1981,Apparel / Fashion,5879
188,5E94a5481A86F18,Houston PLC,http://knapp.net/,Isle of Man,Profound cohesive knowledge user,2012,Civic / Social Organization,9247
189,eD035aAacdbEb9d,Hughes Inc,https://www.caldwell.info/,Kazakhstan,Front-line context-sensitive encoding,2019,Museums / Institutions,8349
190,7FDEda7DAaff02e,Ali-Kim,https://riley.com/,Guinea-Bissau,Re-contextualized intangible process improvement,1989,Judiciary,3477
191,59adfD848Ff79dB,Jennings-Riggs,https://arnold-navarro.net/,Reunion,Fully-configurable bi-directional archive,2013,Civic / Social Organization,4420
192,C8584CE161BeA1e,Glenn-Bird,https://short-murray.biz/,Mali,Automated attitude-oriented infrastructure,2020,Medical Equipment,6466
193,DB6264d4C2AAeae,Watkins-Patton,https://shannon.com/,Belarus,Multi-channeled incremental groupware,1997,Utilities,5377
194,a611cBb80D0fecC,"Howe, Patrick and Glover",http://www.hardin.com/,Sri Lanka,Compatible analyzing archive,1970,Utilities,4480
195,fcF66BfEB398104,Perry LLC,http://www.perkins.net/,Greenland,Seamless context-sensitive contingency,2008,Arts / Crafts,4984
196,28acE2C9e3489CB,"Henry, Stanley and Nguyen",https://cole.com/,Papua New Guinea,Configurable scalable capacity,1981,Fine Art,1963
